# bid	title	code_points	characters	released	type	production	collection	issued
# source: 日本古典籍くずし字データセット (CODH), https://codh.rois.ac.jp/char-shape/book/, and the NIJL IIIF manifests
# licence: CC BY-SA 4.0, http://codh.rois.ac.jp/char-shape/#license
# read on 2026-09-11; 44 books, 1086326 characters
100241706	虚南留別志	786	8527	2019-01	刊	printed	味の素食文化セ	1 丁子屋／平兵衞〈東都〉，山田／佐助〈東都〉，宮屋／源兵衞〈東都〉 天保５
100249371	鼎左秘録	726	9580	2019-01	刊	printed	味の素食文化セ	1 堺屋／仁兵衛〈京都〉 嘉永５
100249376	御前菓子秘伝抄	401	11822	2019-01	刊	printed	味の素食文化セ	1 天王寺屋／市郎兵衛〈帝都〉 宝暦１１
100249416	餅菓子即席／手製集	468	7950	2019-01	刊	printed	味の素食文化セ	1 靏屋／喜右エ門〈江都〉，西村／源六〈江都〉，嶌村／平藏〈江都〉，村田屋／治郎兵衞〈江都〉 文化２
100249476	飯百珍伝	639	7838	2019-01	刊	printed	味の素食文化セ	
100249537	料理珍味集	817	12358	2019-01	刊	printed	味の素食文化セ	
200003076	好色一代男	1668	63959	2017-06	刊	printed	国文研貴重書	1 荒砥屋／孫兵衛／可心（あらとや／まごべえ／かしん）〈大坂〉 天和２
200003803	源氏物語	237	11132	2019-11	刊	printed	国文研	1 八尾／勘兵衛（やお／かんべえ）〈洛陽〉 承応３
200003967	おらが春	1112	11197	2017-06	刊	printed	国文研	1 白井／彦兵衛（しらい／ひこべえ）〈長野〉，西澤／喜太郎（にしざわ／きたろう）〈長野〉，中村／利貞（なかむら／としさだ）〈長野〉，山岸／清右衛門（やまぎし／せいえもん）〈長野〉，白井／亮（しらい／りょう）〈長野〉 明治１１
200004107	二人比丘尼	711	8636	2019-11	刊	printed	国文研	1 堤／六左衛門（つつみ／ろくざえもん）〈京〉
200004148	椿説弓張月	1971	38572	2019-01	刊	printed	国文研	1 平林／荘五郎（ひらばやし／そうごろう）〈江戸〉，河内屋／藤四郎（かわちや／とうしろう）〈京都〉，須原屋／茂兵衛（すはらや／もへえ）〈江戸〉，山城屋／佐兵衛（やましろや／さへえ）〈江戸〉，須原屋／新兵衛（すはらや／しんべえ）〈江戸〉，山城屋／政吉（やましろや／せいきち）〈江戸〉，英／文蔵（はなぶさ／ぶんぞう）〈江戸〉，丁子屋／平兵衛（ちょうじや／へいべえ）〈江戸〉，岡田屋／嘉七（おかだや／かしち）〈江戸〉，和泉屋／吉兵衛（いずみや／きちべえ）〈江戸〉，河内屋／藤兵衛（かわちや／とうべえ）〈大阪〉，河内屋／茂兵衛（かわちや／もへえ）〈大阪〉
200005598	傾城買四十八手	658	16133	2019-01	刊	printed	国文研	1 蔦屋／重三郎（つたや／じゅうざぶろう）〈江戸〉
200005798	世間胸算用／大晦日ハ一日千金	1211	37887	2019-11	刊	printed	国文研	1 萬屋／彦太郎（よろずや／ひこたろう〉〈大坂〉 元禄１２
200006663	ぢぐち	78	121	2019-01	刊	printed	国文研	
200006665	吉利支丹物語	420	16883	2019-11	刊	printed	国文研	
200008003	歌学提要	841	12791	2019-11	刊	printed	国文研石野	1 青雲堂／英屋／小堀〈東京〉
200008316	武家義理物語	1176	37707	2019-11	刊	printed	国文研	1 山岡／市兵衛〈京〉，萬屋／清兵衛〈江戸〉，安井／加兵衛〈大坂〉 貞享５
200010454	源氏物語	193	11566	2019-11	写	handwritten	国文研	
