# Pilot items: Honkoku-Lines items on PDM 1.0 or CC BY 4.0 images.
# group: calibration (the first two pages) or heldout (the rest).
# page_id is the page record id the importer writes, hl:<item_id>:<image_index>.
item_id	title	holder	licence	production	band	lines_per_page	n_pages	group	page_id	image_index	n_lines	reason
5B7E3F3297D1937C6677C28010C1C482	御先手組江戸御屋敷御門番勤方	伊那市立高遠町図書館・合同会社AMANE	CC-BY-4.0	handwritten	dense	23.6	17	calibration	hl:5B7E3F3297D1937C6677C28010C1C482:0	0	2	dense lines, handwritten, 伊那市立高遠町図書館・合同会社AMANE
5B7E3F3297D1937C6677C28010C1C482	御先手組江戸御屋敷御門番勤方	伊那市立高遠町図書館・合同会社AMANE	CC-BY-4.0	handwritten	dense	23.6	17	calibration	hl:5B7E3F3297D1937C6677C28010C1C482:1	1	16	dense lines, handwritten, 伊那市立高遠町図書館・合同会社AMANE
5B7E3F3297D1937C6677C28010C1C482	御先手組江戸御屋敷御門番勤方	伊那市立高遠町図書館・合同会社AMANE	CC-BY-4.0	handwritten	dense	23.6	17	heldout	hl:5B7E3F3297D1937C6677C28010C1C482:2	2	34	dense lines, handwritten, 伊那市立高遠町図書館・合同会社AMANE
5B7E3F3297D1937C6677C28010C1C482	御先手組江戸御屋敷御門番勤方	伊那市立高遠町図書館・合同会社AMANE	CC-BY-4.0	handwritten	dense	23.6	17	heldout	hl:5B7E3F3297D1937C6677C28010C1C482:3	3	34	dense lines, handwritten, 伊那市立高遠町図書館・合同会社AMANE
5B7E3F3297D1937C6677C28010C1C482	御先手組江戸御屋敷御門番勤方	伊那市立高遠町図書館・合同会社AMANE	CC-BY-4.0	handwritten	dense	23.6	17	heldout	hl:5B7E3F3297D1937C6677C28010C1C482:4	4	32	dense lines, handwritten, 伊那市立高遠町図書館・合同会社AMANE
5B7E3F3297D1937C6677C28010C1C482	御先手組江戸御屋敷御門番勤方	伊那市立高遠町図書館・合同会社AMANE	CC-BY-4.0	handwritten	dense	23.6	17	heldout	hl:5B7E3F3297D1937C6677C28010C1C482:5	5	34	dense lines, handwritten, 伊那市立高遠町図書館・合同会社AMANE
5B7E3F3297D1937C6677C28010C1C482	御先手組江戸御屋敷御門番勤方	伊那市立高遠町図書館・合同会社AMANE	CC-BY-4.0	handwritten	dense	23.6	17	heldout	hl:5B7E3F3297D1937C6677C28010C1C482:6	6	31	dense lines, handwritten, 伊那市立高遠町図書館・合同会社AMANE
5B7E3F3297D1937C6677C28010C1C482	御先手組江戸御屋敷御門番勤方	伊那市立高遠町図書館・合同会社AMANE	CC-BY-4.0	handwritten	dense	23.6	17	heldout	hl:5B7E3F3297D1937C6677C28010C1C482:7	7	22	dense lines, handwritten, 伊那市立高遠町図書館・合同会社AMANE
5B7E3F3297D1937C6677C28010C1C482	御先手組江戸御屋敷御門番勤方	伊那市立高遠町図書館・合同会社AMANE	CC-BY-4.0	handwritten	dense	23.6	17	heldout	hl:5B7E3F3297D1937C6677C28010C1C482:10	10	32	dense lines, handwritten, 伊那市立高遠町図書館・合同会社AMANE
5B7E3F3297D1937C6677C28010C1C482	御先手組江戸御屋敷御門番勤方	伊那市立高遠町図書館・合同会社AMANE	CC-BY-4.0	handwritten	dense	23.6	17	heldout	hl:5B7E3F3297D1937C6677C28010C1C482:11	11	25	dense lines, handwritten, 伊那市立高遠町図書館・合同会社AMANE
